,time_in_s,original_index,index
233,69910.4778,1247,233
234,70210.5659,1262,234
235,70510.6747,1277,235
236,70810.749,1292,236
237,71110.9645,1307,237
238,71411.0286,1322,238
239,71711.217,1337,239
240,72011.3959,1352,240
241,72311.5166,1367,241
242,72611.715,1382,242
243,72911.8136,1397,243
244,73211.8244,1412,244
245,73511.8957,1427,245
246,73812.1193,1442,246
247,74112.2855,1457,247
248,74412.3281,1472,248
249,74712.4319,1487,249
250,75012.5722,1502,250
251,75312.7595,1517,251
252,75603.1087,1531,252
253,75913.2333,1547,253
254,76213.4615,1562,254
255,76513.4366,1577,255
256,76813.5746,1592,256
257,77113.7306,1607,257
258,77413.8184,1622,258
259,77713.9966,1637,259
260,78014.0278,1652,260
261,78304.5665,1666,261
262,78614.3143,1682,262
263,78914.4986,1697,263
264,79214.6628,1712,264
265,79514.657,1727,265
266,79814.8522,1742,266
267,80114.937,1757,267
268,80414.9628,1772,268
269,80713.4701,1787,269
270,81015.2641,1802,270
271,81315.4868,1817,271
272,81615.5369,1832,272
273,81915.7151,1847,273
274,82215.9524,1862,274
275,82515.9717,1877,275
276,82816.1393,1892,276
277,83116.1977,1907,277
278,83416.2603,1922,278
279,83716.4473,1937,279
280,84018.3781,1952,280
281,84316.8166,1967,281
282,84618.764,1982,282
283,84918.7705,1997,283
284,85218.9062,2012,284
285,85500.0835,2026,285
286,85800.2572,2041,286
287,86100.3803,2056,287
288,86400.3953,2071,288
289,86700.5763,2086,289
290,87000.7345,2101,290
291,87300.8739,2116,291
292,87600.9102,2131,292
293,87901.0235,2146,293
294,88201.226,2161,294
295,88501.385,2176,295
296,88801.4068,2191,296
297,89101.5339,2206,297
298,89401.53,2221,298
299,89701.7089,2236,299
300,90001.9135,2251,300
301,90301.98,2266,301
302,90602.0211,2281,302
303,90902.326,2296,303
304,91202.3813,2311,304
305,91509.1493,2325,305
306,92150.088,2328,306
307,92150.088,2328,307
308,92749.5588,2329,308
309,92749.5588,2329,309
310,93339.238,2330,310
311,93339.238,2330,311
312,93939.2639,2331,312
313,93939.2639,2331,313
314,94539.2062,2332,314
315,94539.2062,2332,315
316,95139.2513,2333,316
317,95139.2513,2333,317
318,95739.2138,2334,318
319,95739.2138,2334,319
320,96339.1668,2335,320
321,96339.1668,2335,321
322,96939.1657,2336,322
323,96939.1657,2336,323
324,97539.2547,2337,324
325,97539.2547,2337,325
326,98139.1563,2338,326
327,98139.1563,2338,327
328,98739.1932,2339,328
329,98739.1932,2339,329
330,99339.2221,2340,330
331,99339.2221,2340,331
332,99939.245,2341,332
333,99939.245,2341,333
334,100544.4699,2342,334
335,100544.4699,2342,335
336,101139.3696,2343,336
337,101139.3696,2343,337
338,101739.3152,2344,338
339,101739.3152,2344,339
340,102339.3778,2345,340
341,102339.3778,2345,341
342,102939.4096,2346,342
343,102939.4096,2346,343
344,103539.3979,2347,344
345,103539.3979,2347,345
346,104139.406,2348,346
347,104139.406,2348,347
348,104739.3682,2349,348
349,104739.3682,2349,349
350,105339.3717,2350,350
351,105339.3717,2350,351
352,105939.3652,2351,352
353,105939.3652,2351,353
354,106539.3917,2352,354
355,106539.3917,2352,355
356,107139.3693,2353,356
357,107139.3693,2353,357
358,107737.2469,2354,358
359,107737.2469,2354,359
360,108339.5098,2355,360
362,108939.5045,2356,362
363,108939.5045,2356,363
364,109539.4746,2357,364
365,109539.4746,2357,365
366,110141.6738,2358,366
367,110141.6738,2358,367
368,110739.4112,2359,368
369,110739.4112,2359,369
370,111339.5317,2360,370
371,111339.5317,2360,371
372,111939.4836,2361,372
373,111939.4836,2361,373
374,112539.4597,2362,374
375,112539.4597,2362,375
376,113139.3679,2363,376
377,113139.3679,2363,377
378,113739.408,2364,378
379,113739.408,2364,379
380,114339.5219,2365,380
381,114339.5219,2365,381
382,114939.4422,2366,382
383,114939.4422,2366,383
384,115539.5081,2367,384
385,115539.5081,2367,385
386,116145.1064,2368,386
387,116145.1064,2368,387
388,116739.7927,2369,388
389,116739.7927,2369,389
390,117339.542,2370,390
391,117339.542,2370,391
392,117939.5304,2371,392
393,117939.5304,2371,393
394,118539.6168,2372,394
395,118539.6168,2372,395
396,119139.512,2373,396
397,119139.512,2373,397
398,119739.5009,2374,398
399,119739.5009,2374,399
400,120339.4957,2375,400
401,120339.4957,2375,401
402,120939.571,2376,402
403,120939.571,2376,403
404,121539.4484,2377,404
405,121539.4484,2377,405
406,122139.6113,2378,406
407,122139.6113,2378,407
408,123339.5901,2380,408
409,123339.5901,2380,409
410,123339.5901,2380,410
411,123339.5901,2380,411
412,123939.6292,2381,412
413,123939.6292,2381,413
414,124539.6306,2382,414
415,124539.6306,2382,415
416,125139.5646,2383,416
417,125139.5646,2383,417
418,125739.6041,2384,418
419,125739.6041,2384,419
420,126339.5606,2385,420
421,126339.5606,2385,421
422,126939.5866,2386,422
423,126939.5866,2386,423
424,127539.5639,2387,424
425,127539.5639,2387,425
426,128139.6458,2388,426
427,128139.6458,2388,427
428,128739.9586,2389,428
429,128739.9586,2389,429
430,129339.7183,2390,430
431,129339.7183,2390,431
